//Starting Program
Trial: 1 1
Trial Type 1
Lick 423456
Lick 423557
Lick 423658
Lick 423772
Lick 423874
Lick 423975
ITI 424042
Lick 424076
Lick 424177
Lick 424278
Lick 424379
Lick 424480
Lick 424581
Lick 424682
Lick 424783
Lick 424884
Lick 424985
Lick 425086
Lick 425187
Lick 425288
Lick 425389
Lick 425490
Lick 425591
Lick 425692
Lick 425793
Lick 425894
Lick 425995
Lick 426096
Lick 426198
Lick 426299
Lick 426400
Lick 426501
Lick 426602
Lick 426703
Lick 426804
Lick 426905
Lick 427006
Lick 427107
Lick 427208
Lick 427309
Lick 427410
Lick 427602
Lick 441456
Lick 441527
Lick 442273
Lick 442376
Lick 442416
Lick 442458
Lick 442971
Lick 443410
Lick 443724
Lick 443796
Lick 443943
Trial: 21 444042
Trial Type 2
Lick 444156
Lick 444636
Lick 444702
Lick 445203
Lick 445519
Lick 445602
Lick 445886
Lick 445952
On 446042
Lick 446066
Lick 446132
Lick 446545
Lick 446736
Lick 446793
Off 447542
ITI 451043
RPoke 452870
RPoke 454643
Trial: 22 459043
Trial Type 2
On 461043
Off 462543
ITI 466044
RPoke 466222
Lick 470471
Lick 470567
RPoke 472889
Lick 474764
Lick 474865
Lick 475719
Trial: 23 478044
Trial Type 2
On 480044
RPoke 480164
Off 481544
Lick 482011
Lick 482636
Lick 483379
Lick 483545
Lick 483831
Reward 484047
Lick 484101
Lick 484419
Lick 484520
Lick 484621
Lick 484722
Lick 484823
Lick 484924
Lick 485040
ITI 485047
Lick 485167
Lick 485268
Lick 485369
Lick 485470
Lick 485571
Lick 485672
Lick 485773
Lick 485874
Lick 485975
Lick 486076
Lick 486177
Lick 486278
Lick 486379
Lick 486480
Lick 486581
Lick 486682
Lick 486784
Lick 486885
Lick 486986
Lick 487087
Lick 487188
Lick 487289
Lick 487390
Lick 487491
Lick 487592
Lick 487693
Lick 487794
Lick 487895
Lick 487996
Lick 488097
Lick 488198
Lick 488299
Lick 488400
Lick 488501
Lick 488602
Lick 488704
Lick 488805
Lick 488906
Lick 489007
Lick 489108
Lick 489209
Lick 489310
Lick 489411
Lick 489512
Lick 489613
Lick 489714
Lick 489815
Lick 489916
Lick 490017
Lick 490118
Lick 490219
Lick 490320
Lick 490409
Lick 490510
Lick 490611
Lick 490974
RPoke 495631
Lick 498075
Lick 498176
Trial: 24 501047
Trial Type 2
On 503047
Off 504547
ITI 508048
RPoke 508493
Lick 511305
Lick 511985
Lick 512086
Lick 512168
Lick 512269
Trial: 25 516048
Trial Type 2
RPoke 516665
RPoke 517769
On 518048
RPoke 519182
Off 519548
Lick 520731
Lick 520832
Lick 521904
Reward 522050
Lick 522334
Lick 522436
Lick 522515
Lick 522591
Lick 522678
Lick 522796
Lick 522894
Lick 523005
ITI 523051
Lick 523111
Lick 523212
Lick 523322
Lick 523446
Lick 523565
Lick 523671
Lick 523778
Lick 523922
Lick 524059
Lick 524177
Lick 524279
Lick 524297
Lick 524398
Lick 524413
Lick 524514
Lick 524551
Lick 524652
Lick 524683
Lick 524793
Lick 524903
Lick 525005
Lick 525018
Lick 525119
Lick 525164
Lick 525265
Lick 525302
Lick 525412
Lick 525513
Lick 525553
Lick 525654
Lick 525718
Lick 525820
Lick 525844
Lick 525946
Lick 525981
Lick 526082
Lick 526157
Lick 526258
Lick 526295
Lick 526397
Lick 526434
Lick 526535
Lick 526590
Lick 526691
Lick 526722
Lick 526823
Lick 526892
Lick 526993
Lick 527049
Lick 527150
Lick 527232
Lick 527378
Lick 527480
Lick 527581
Lick 527682
Lick 527783
Lick 527828
Lick 527931
Trial: 26 535051
Trial Type 1
On 537051
RPoke 538487
Off 538551
Lick 540285
Lick 540336
Lick 541018
Reward 541053
Lick 541387
Lick 541420
Lick 541510
Lick 541608
Lick 541712
Lick 541820
Lick 541931
Lick 542045
ITI 542053
Lick 542156
Lick 542268
Lick 542389
Lick 542500
Lick 542611
Lick 542710
Lick 542836
Lick 542931
Lick 543032
Lick 543133
Lick 543234
Lick 543335
Lick 543436
Lick 543537
Lick 543638
Lick 543739
Lick 543840
Lick 543941
Lick 544043
Lick 544144
Lick 544245
Lick 544346
Lick 544447
Lick 544548
Lick 544649
Lick 544750
Lick 544851
Lick 544952
Lick 545053
Lick 545154
Lick 545255
Lick 545356
Lick 545457
Lick 545558
Lick 545666
Lick 545768
Lick 545869
Lick 545970
Lick 546071
Lick 546140
Lick 546640
Lick 547130
Lick 547192
RPoke 552234
RPoke 556186
RPoke 556793
Trial: 27 558053
Trial Type 1
Lick 558483
On 560053
RPoke 560454
Off 561553
Lick 562003
Lick 562497
Lick 562581
Lick 562682
Lick 562963
Lick 563031
Lick 563849
Lick 563927
Reward 564055
Lick 564131
Lick 564254
Lick 564302
Lick 564403
Lick 564492
Lick 564629
Lick 564721
Lick 564832
Lick 564927
Lick 565038
ITI 565055
Lick 565153
Lick 565259
Lick 565362
Lick 565470
Lick 565571
Lick 565677
Lick 565779
Lick 565880
Lick 565981
Lick 566021
Lick 566122
Lick 566223
Lick 566324
Lick 566384
Lick 566486
Lick 566587
Lick 566688
Lick 566789
Lick 566890
Lick 566991
Lick 567092
Lick 567193
Lick 567294
Lick 567395
Lick 567496
Lick 567597
Lick 567691
Lick 567810
Lick 567912
Lick 568013
Lick 568100
Lick 568210
Lick 568334
Lick 568446
Lick 568543
Lick 568644
Lick 568677
Lick 568778
Lick 568879
Lick 568980
Lick 569081
Lick 569182
Lick 569283
Lick 569384
Lick 569485
Lick 569586
Lick 569687
Lick 569788
Lick 569889
Lick 569990
Lick 570089
Lick 570179
Lick 570281
Lick 570382
Lick 570483
Lick 570584
Lick 570685
Lick 570786
Lick 570887
Lick 570988
Lick 571089
Lick 571131
Lick 571232
Lick 571266
Lick 571367
Lick 571407
Lick 571508
Trial: 28 581055
Trial Type 2
On 583055
Off 584555
Lick 585011
Lick 585190
Lick 585377
Lick 585803
Lick 586196
Lick 586361
Lick 586434
Lick 586511
Lick 586564
Lick 586839
Lick 586941
Lick 587280
Lick 587526
Lick 587748
Lick 587824
Lick 587910
ITI 588056
Lick 588120
Lick 588222
Trial: 29 600056
Trial Type 1
On 602056
RPoke 602704
Off 603556
Lick 604200
Lick 604301
Lick 604406
Lick 604472
Lick 605045
Lick 605161
Lick 605399
Reward 606058
Lick 606108
Lick 606146
Lick 606205
Lick 606212
Lick 606298
Lick 606357
Lick 606444
Lick 606541
Lick 606657
Lick 606733
Lick 606845
Lick 606956
Lick 607058
ITI 607058
Lick 607159
Lick 607260
Lick 607361
Lick 607462
Lick 607563
Lick 607664
Lick 607765
Lick 607866
Lick 607967
Lick 608068
Lick 608169
Lick 608270
Lick 608371
Lick 608472
Lick 608573
Lick 608674
Lick 608775
Lick 608876
Lick 608977
Lick 609078
Lick 609179
Lick 609280
Lick 609381
Lick 609482
Lick 609583
Lick 609684
Lick 609785
Lick 609886
Lick 610183
